ID,Page Name,Vector,Category
10,Bisiklet (spor),"[-0.1105848   0.09089955 -0.0441441  -0.08737047  0.02162762 -0.09341103
 -0.15071927  0.02353116 -0.00202002  0.08043693  0.17677342 -0.0286973
  0.03632983 -0.09683937  0.10169921 -0.06037686 -0.0466584  -0.1296449
 -0.12728003 -0.06294882  0.02987291  0.0646361   0.05824662 -0.00068467
 -0.04364469  0.12690932 -0.14177271 -0.15353608  0.00289715  0.08764747
 -0.02101234  0.08384587  0.19456228  0.00841227  0.10372968  0.00977759
 -0.03488977 -0.09783287 -0.04894812  0.24613286 -0.08321997 -0.10943418
 -0.02296972  0.12644404 -0.14966297 -0.04274303  0.01984459  0.04980897
 -0.0133371   0.00832435  0.23230583  0.14086271  0.15632079  0.01192525
 -0.0110259   0.16128177 -0.08508838  0.05280299 -0.04323753  0.06829161
 -0.11825959 -0.0123989   0.07279411 -0.03406054  0.06588216 -0.09452631
  0.03630215  0.18217154  0.05211566 -0.09884013 -0.10941599  0.09726741
  0.08117359 -0.04161266  0.04093572 -0.04152348  0.11253259  0.05261054
  0.06298992  0.20044949  0.01487355  0.00143839 -0.0456281  -0.01355738
 -0.14862574  0.05559737 -0.1232581   0.11385993  0.23013101 -0.08873738
 -0.05650981 -0.03434049  0.01503625 -0.15129724 -0.1177935  -0.04718349
 -0.01389231  0.15734994 -0.03854788  0.07408322]",Spor
11,Futbol,"[-0.00633124 -0.04289343  0.27214256 -0.19186893 -0.00871733  0.06317103
  0.01985963  0.07288932 -0.02737694  0.02578724  0.01629225 -0.01733239
 -0.10724121 -0.03364907 -0.12602504 -0.01688444 -0.04254097 -0.00054315
 -0.01445719  0.04933076 -0.01905937 -0.07538617  0.02705608 -0.07758416
  0.05082696 -0.03491143  0.04581915  0.13575801 -0.0784876  -0.02303962
  0.11632161 -0.0295128   0.16815346  0.25623852 -0.15491366  0.11098387
 -0.14047458 -0.12673475  0.05077618 -0.05587926 -0.1387214  -0.14082069
  0.02887349 -0.08625699  0.17420639 -0.10146658 -0.10635389 -0.04502633
 -0.05499031 -0.01116026  0.07808597 -0.16629494  0.17051718  0.07001983
 -0.07376903  0.12790773 -0.15017545  0.12136547 -0.01854176 -0.07691593
  0.06762471 -0.18775641  0.06690683  0.02250149 -0.05451872 -0.07215373
 -0.03122273 -0.03583709  0.13744728  0.03460877 -0.17922498  0.12818792
  0.04352882  0.05374629 -0.1159797   0.08785925  0.11018917 -0.04580268
 -0.05153372 -0.08975895 -0.2129181   0.01182464 -0.08451809 -0.14958009
 -0.04321254  0.04253914  0.03502421 -0.12008584 -0.11656249  0.0487752
  0.03244425  0.10244432 -0.14191759 -0.09907861 -0.10743918  0.02117874
 -0.0615724  -0.13426099  0.04233014 -0.03921774]",Spor
12,Basketbol,"[-0.03462874 -0.12731054  0.29032245 -0.02327781  0.15785152 -0.11086211
 -0.01026505  0.0905618  -0.00485642 -0.01999194 -0.05653973 -0.16206939
 -0.08161077 -0.07388964 -0.038871    0.00529859 -0.06154592  0.15395844
 -0.04315646  0.05488531 -0.02859581  0.06033127  0.0154858   0.06395226
 -0.03450845 -0.04462864  0.07373122 -0.1153293  -0.03063591 -0.02793772
 -0.08929337 -0.14694659 -0.09251663 -0.00317509  0.0942844   0.0734647
 -0.03068691  0.00301415  0.09983243 -0.05076105 -0.01766577  0.06286125
  0.12634545  0.06448133  0.1750594  -0.18829194 -0.10777875  0.14655
  0.06161704  0.02154736  0.13649318 -0.07888079  0.15732246  0.00552027
 -0.01649095  0.20185792 -0.1426147   0.12209961  0.04143421 -0.04103232
 -0.00483062 -0.0728469   0.17896744  0.13786982 -0.07364962  0.092102
 -0.00800626  0.08637877  0.15216402 -0.08050991  0.01188264 -0.03643086
  0.13736905 -0.1504397   0.0537147   0.06832466  0.04518607  0.14398271
 -0.04875942 -0.05213172 -0.15126457 -0.15315401 -0.10125549 -0.04476508
 -0.14234708  0.01479754  0.20977138 -0.09066324  0.13668274 -0.06240119
 -0.06589149  0.05819417  0.00345526  0.01422422 -0.02573617 -0.00139497
 -0.01792187  0.12596981 -0.10268978  0.03678413]",Spor
13,Olimpiyat Oyunları,"[-0.29555205 -0.1109912   0.13788558 -0.0687417  -0.03671822  0.21240104
 -0.00508763  0.15333895  0.06161249 -0.01209499 -0.03962599 -0.17732772
 -0.14735624 -0.04303565  0.17085022  0.12004835  0.09391243 -0.00391697
  0.01365369  0.01853517 -0.04089737 -0.01805708 -0.12782985 -0.1697943
 -0.00361753 -0.04245715 -0.08615252  0.00499658 -0.08456089  0.06492892
  0.02912682 -0.09046316 -0.07325197  0.12087942 -0.08154554 -0.00085551
 -0.10025301 -0.01392271  0.02013687  0.10366603 -0.10604979 -0.04315543
  0.06826266  0.04323385 -0.09679396 -0.04088639  0.01033081  0.12469053
 -0.10225075 -0.19887205  0.07462932 -0.00980921 -0.01737252 -0.04118191
 -0.16149685 -0.07987636 -0.04365036  0.14399356  0.18060416 -0.1423955
 -0.10301866 -0.18486471  0.13967079  0.08556367  0.00318164  0.08097537
 -0.05130575  0.06425234 -0.03369263 -0.05448448 -0.09442344  0.09460905
  0.11743908  0.04423972 -0.05337896 -0.00586286  0.18256768  0.21709339
  0.04876632 -0.04158208 -0.00322978 -0.07013191 -0.07030641 -0.08004632
  0.04889963 -0.07109049  0.11437031 -0.08327816  0.01974191  0.03103173
 -0.09693772  0.02542451  0.10324387 -0.00684684 -0.06351269 -0.03806277
  0.00294748 -0.09871226  0.12884211  0.14435724]",Spor
14,Voleybol,"[-1.86144091e-01 -9.89794436e-02  5.98531113e-02 -4.89626083e-02
 -1.49683850e-01  1.28373133e-01  1.20807692e-01 -1.96133124e-02
  9.60445298e-02  3.72708137e-02  1.34620011e-01  2.48992737e-03
 -1.75502854e-01 -1.17469383e-01 -4.69732781e-03 -1.18918653e-02
  1.16310578e-01  7.64664216e-02 -1.11638854e-01 -2.56330418e-02
 -4.84861068e-02 -1.52482074e-01 -7.34648700e-02 -3.75053526e-02
  4.03822881e-02 -1.22561688e-01 -8.17974356e-02 -1.80227022e-01
 -4.05744416e-02  1.11842966e-01  2.51646618e-01 -3.25256668e-02
 -1.40493756e-01 -9.04779528e-02 -1.00077864e-01 -1.19949037e-01
 -1.19531058e-01  4.54860595e-02  7.87985100e-02  4.39091121e-02
 -9.11657307e-02 -5.09236583e-02  1.36624688e-01  5.02486472e-02
 -1.40913211e-01 -4.35797282e-02 -1.53136392e-01 -1.07543386e-02
 -1.18130578e-01  4.31191707e-02  1.99380978e-01 -1.07129228e-01
  2.60476985e-02 -5.88190764e-02 -6.97243944e-02 -1.99566537e-02
 -1.07525052e-01  3.77935769e-02 -2.90224288e-05 -4.49534833e-02
 -1.05732652e-01 -7.92109214e-02  1.52578611e-01 -6.00445109e-02
 -6.61489965e-02 -1.42174515e-01 -1.47926519e-02 -1.16067730e-02
  6.24482358e-02  8.30917805e-02 -8.43137388e-02  6.17326511e-02
 -7.41909968e-02 -6.14488602e-03 -1.68832097e-01  3.31589924e-03
  3.43314314e-02  1.46216251e-01  9.52577937e-03 -1.35248308e-01
 -1.79540504e-02 -7.07777196e-02  1.75382359e-01 -1.84687778e-01
 -8.81991946e-02 -1.32038478e-01 -1.21815861e-01  4.63428357e-02
  1.84211488e-01  6.65473005e-02 -2.14301065e-02  3.53283301e-03
  5.96512665e-03  3.53441729e-02 -1.04460906e-01  5.68476687e-02
  8.70517741e-02 -1.25279547e-02 -2.26871038e-02  1.08341019e-02]",Spor
15,Müzik,"[-0.07983972 -0.04050076 -0.10979809  0.09457045  0.08783672 -0.04704465
 -0.04764111 -0.12652394  0.00952816  0.05787871 -0.13574239  0.14864013
 -0.11020275  0.11031664 -0.10509838 -0.07672455 -0.17085559 -0.20180364
 -0.00044116  0.17251712  0.03677195 -0.02939056  0.02922794 -0.08283543
 -0.01279262 -0.00382771 -0.01980693  0.04105083 -0.15921933  0.09198787
 -0.0436802  -0.02889869  0.08916073 -0.01073869 -0.01105459  0.19894181
  0.08900054  0.04632261  0.02111122  0.07604821 -0.0370497  -0.00314071
  0.00786     0.03780028  0.21702669  0.07699896 -0.11635409  0.0994058
  0.25287143 -0.00247614 -0.06012066 -0.01762397  0.12997996 -0.05041852
 -0.1339452   0.04746883 -0.06590763  0.02625632 -0.00970242  0.13945727
 -0.10749561 -0.03802856  0.11104968 -0.0048719  -0.01120252  0.04904211
 -0.12176499 -0.06311324  0.17860279 -0.09487061 -0.04362527  0.08138887
 -0.00046104  0.07241231  0.03642674 -0.04471655  0.13268544 -0.14113363
  0.01786533 -0.14668271  0.20836692 -0.01014667  0.06450112 -0.20106413
 -0.1179276   0.05895147 -0.05836091 -0.04411094  0.01988002 -0.10215463
  0.03953236  0.20827921 -0.0188458   0.00082447 -0.09109393  0.01674809
 -0.14928355  0.05724622  0.01334172  0.03389968]",Sanat
16,Heykel,"[ 0.07865977 -0.05056212 -0.01552386 -0.12433539 -0.07239629 -0.04565284
 -0.02204017 -0.04142135  0.00298489  0.05792304  0.05370509 -0.06547093
  0.09403654 -0.04246153 -0.05194547  0.12066942 -0.05315694  0.08475215
  0.10538826  0.07100097  0.02178807 -0.06917823 -0.08730293 -0.18087337
 -0.11392357 -0.02381901  0.15464827  0.28233305 -0.15241343  0.07345464
  0.07571995  0.10215455  0.14931532  0.00623536 -0.0255131  -0.04595794
  0.16359131  0.01288107 -0.10811062  0.0495097  -0.1238319  -0.0675333
 -0.0186754  -0.06342984  0.126246    0.08394037 -0.04799259 -0.09938034
  0.09036136  0.06336483 -0.04941578 -0.11034576  0.01430895  0.04507818
  0.06807113 -0.03582287  0.01617232  0.30235536  0.17107235 -0.1195384
  0.11568158  0.14560165  0.09719505  0.05819035  0.06269249 -0.0291316
 -0.01533052 -0.06943762  0.01058668  0.05970086 -0.22179831 -0.01350898
 -0.00659368  0.01526193 -0.11027787  0.04396283  0.05019585  0.09509753
  0.02539752 -0.15617584 -0.00544721 -0.05871434 -0.05210397 -0.00503416
  0.12500974  0.11717323 -0.02850801 -0.01119269 -0.00471018 -0.10953207
  0.03297186  0.1200999   0.01303999  0.05378962  0.20898735 -0.05880453
  0.06813821  0.19755164  0.11498534  0.04686267]",Sanat
17,Tiyatro,"[ 0.01892642 -0.00283251  0.13470066  0.09119858 -0.20585622 -0.01998013
 -0.11919978 -0.08459361  0.09462687  0.07081611  0.0409334   0.00520816
 -0.04151055  0.04335106  0.06436632  0.02114967 -0.0028724  -0.16717758
  0.14123178  0.05816818  0.00654278 -0.08607566 -0.0204614   0.00618441
 -0.00495883  0.04340795  0.27174913  0.1086225  -0.14787212  0.18267748
 -0.02037807 -0.06010821 -0.15904712  0.19713105 -0.01279986  0.00105426
  0.12506008  0.06660749  0.19489488  0.0620605  -0.03019471 -0.02585597
 -0.0716883   0.05365314  0.13887951  0.04861439  0.05302211  0.01797792
  0.08111086  0.07046201 -0.04223647 -0.16977578  0.08490633  0.11054563
 -0.00291612 -0.07003481 -0.10857584  0.10378526  0.0294638  -0.13922509
 -0.08661462  0.16323143  0.02840321 -0.06891532 -0.00384376 -0.18555289
 -0.15778356 -0.14748749  0.04111895 -0.04504037 -0.00369724  0.05581958
  0.03409062  0.08530046 -0.04102309  0.08633862  0.09174583  0.03209303
  0.12406281 -0.21293944 -0.02024942 -0.09572826  0.16141779 -0.06693721
 -0.04325334 -0.04843884  0.00129076  0.0727211   0.04590883  0.04097103
  0.052117   -0.02902132 -0.08275815 -0.02417869 -0.10844592 -0.06813211
 -0.04454517  0.20438712 -0.11952832 -0.11944376]",Sanat
18,Edebiyat,"[-0.10670419 -0.22496772  0.04818405  0.05117693  0.0257446  -0.01472795
  0.15339055 -0.14677295  0.15940791 -0.17270691 -0.06386913  0.00119175
  0.05580689 -0.00344645  0.0171876  -0.1195566   0.03395362  0.16160222
  0.12076002  0.16577252  0.01905371 -0.01730722  0.00880373 -0.14310637
  0.11807463 -0.05107107 -0.15065634  0.08448562 -0.05556142 -0.14567668
 -0.03790283 -0.06525994  0.08914222 -0.08687435  0.0879458   0.13030401
  0.02220331 -0.13432459 -0.10123689  0.10212344  0.13689016  0.05318723
  0.03620614  0.02856841 -0.0507325  -0.05451675 -0.00348953 -0.12866231
  0.04693462  0.07242845 -0.05181219  0.00047978 -0.05200051  0.04204498
  0.04366193 -0.1740467  -0.07343021 -0.07214359  0.04604397 -0.01357131
  0.137711   -0.03012457 -0.02914279 -0.00401507 -0.17303475  0.09143476
 -0.11176357 -0.02480867  0.10287389 -0.07742633  0.11031052  0.15873711
 -0.07062952 -0.00467778  0.1088692  -0.01560139  0.17562167  0.11727049
 -0.14396499 -0.07947465 -0.02815842  0.11271971  0.04459425  0.02369505
  0.07358546 -0.08354448 -0.03376248  0.04832669  0.02001067  0.12291764
 -0.14781578 -0.11113621  0.01311974  0.07816347 -0.12389617  0.12922336
  0.03739334  0.00623909  0.06764953 -0.10554895]",Sanat
19,Resim,"[-0.15840803 -0.19605889  0.18671097 -0.05268446  0.07514827 -0.21635189
 -0.10988444 -0.11508156  0.03199561  0.02688804  0.0722125  -0.09084948
 -0.06903255  0.17240877 -0.15932398 -0.11986129  0.00956841 -0.08449932
 -0.16514084 -0.0593281  -0.17813438 -0.00081112 -0.10030897 -0.00818713
  0.10222407  0.08640855  0.01406202  0.00588537  0.01022748  0.02660716
 -0.04843176  0.11180749  0.12522437  0.05925894  0.07440151  0.18494578
  0.01553247 -0.00327745 -0.03775102  0.07106223 -0.03935887 -0.07378221
 -0.04789371 -0.04527509 -0.03254808  0.0182436   0.01098597  0.07545312
  0.03689499  0.00090262  0.08632151  0.01716345 -0.00523402 -0.14510714
 -0.03012521 -0.04529443 -0.06183509  0.00989905 -0.01131851  0.03710628
 -0.09721544 -0.04202901 -0.18779628  0.05508839  0.04626016  0.09903563
 -0.09422023  0.06058316  0.0298562  -0.11460983  0.05991373  0.05655881
  0.03430951  0.04766416 -0.04134003 -0.06718756 -0.14192481  0.00097089
  0.00917545 -0.07981536 -0.0206548  -0.00318463  0.12220604 -0.07908034
  0.13894675 -0.02243487 -0.07411113  0.04800331 -0.07632402  0.00508234
 -0.16972001 -0.00337097  0.18083127  0.08818825 -0.05305238  0.25945448
  0.05221934  0.19938078  0.07094979  0.0627823 ]",Sanat
